 #Air Temperature Distribution
 #Number of hourly occurences
 #Temperatures degree Celsius top row (-30 to -25...-25 to -20,...
Month/Year,-30,-25,-20,-15,-10, -5,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45
2/1996,  0,  0,  0, 41, 28, 79,115, 97,153,109, 53, 21,  0,  0,  0,  0
3/1996,  0,  0,  0,  0,  8, 78,124,146,163,159, 60,  6,  0,  0,  0,  0
4/1996,  0,  0,  0,  0,  0,  0, 50,138,159,201,133, 39,  0,  0,  0,  0
5/1996,  0,  0,  0,  0,  0,  0,  0,  9, 33,152,272,245, 33,  0,  0,  0
6/1996,  0,  0,  0,  0,  0,  0,  0,  0,  0, 52,313,312, 43,  0,  0,  0
7/1996,  0,  0,  0,  0,  0,  0,  0,  0,  0, 14,279,329,122,  0,  0,  0
8/1996,  0,  0,  0,  0,  0,  0,  0,  0,  0,  8,313,348, 75,  0,  0,  0
9/1996,  0,  0,  0,  0,  0,  0,  0, 11, 31,128,320,214, 16,  0,  0,  0
10/1996,  0,  0,  0,  0,  0,  0,  5, 56,130,255,231, 67,  0,  0,  0,  0
11/1996,  0,  0,  0,  0,  0, 11, 88,173,180,193, 69,  6,  0,  0,  0,  0
12/1996,  0,  0,  0,  0,  1, 79,110,154,170,188, 42,  0,  0,  0,  0,  0
1/1997,  0,  0,  0,  0, 13,195,149,112,127,116, 31,  1,  0,  0,  0,  0
2/1997,  0,  0,  0,  0,  0,  6,175,211,111,114, 55,  0,  0,  0,  0,  0
3/1997,  0,  0,  0,  0,  0,  2, 28, 92,190,272,149, 11,  0,  0,  0,  0
4/1997,  0,  0,  0,  0,  0,  0, 35,131,216,245, 81, 12,  0,  0,  0,  0
5/1997,  0,  0,  0,  0,  0,  0,  0, 14, 86,240,307, 92,  5,  0,  0,  0
6/1997,  0,  0,  0,  0,  0,  0,  0,  0,  5, 81,367,244, 23,  0,  0,  0
7/1997,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,158,456,130,  0,  0,  0
8/1997,  0,  0,  0,  0,  0,  0,  0,  0,  0, 37,251,375, 81,  0,  0,  0
9/1997,  0,  0,  0,  0,  0,  0,  0,  0,  2,115,286,273, 44,  0,  0,  0
10/1997,  0,  0,  0,  0,  0,  0, 14,106,168,165,209, 82,  0,  0,  0,  0
11/1997,  0,  0,  0,  0,  0, 17, 88,248,241,106, 20,  0,  0,  0,  0,  0
12/1997,  0,  0,  0,  0,  0, 55,269,196,179, 39,  6,  0,  0,  0,  0,  0
1/1998,  0,  0,  0,  0,  0, 14,156,257,209,104,  4,  0,  0,  0,  0,  0
2/1998,  0,  0,  0,  0,  0, 10, 89,324,189, 58,  2,  0,  0,  0,  0,  0
3/1998,  0,  0,  0,  0,  0, 44,137,123,163,188, 74, 15,  0,  0,  0,  0
4/1998,  0,  0,  0,  0,  0,  0,  0, 83,203,264,133, 37,  0,  0,  0,  0
5/1998,  0,  0,  0,  0,  0,  0,  0,  0, 26,149,280,221, 68,  0,  0,  0
6/1998,  0,  0,  0,  0,  0,  0,  0,  0, 17, 11,260,228,204,  0,  0,  0
7/1998,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,151,389,204,  0,  0,  0
8/1998,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,188,337,198, 16,  0,  0
9/1998,  0,  0,  0,  0,  0,  0,  0,  0,  0, 34,342,245, 99,  0,  0,  0
10/1998,  0,  0,  0,  0,  0,  0,  9, 27,115,207,243,126, 17,  0,  0,  0
11/1998,  0,  0,  0,  0,  0,  0, 28,111,209,247,115, 10,  0,  0,  0,  0
12/1998,  0,  0,  0,  0,  0,100,122,171,134,111,100,  6,  0,  0,  0,  0
1/1999,  0,  0,  0,  0, 12, 91, 86,106,213,184, 52,  0,  0,  0,  0,  0
2/1999,  0,  0,  0,  0,  0, 26, 89,163,149,157, 76, 12,  0,  0,  0,  0
3/1999,  0,  0,  0,  0,  0,  5, 91,215,239,151, 43,  0,  0,  0,  0,  0
4/1999,  0,  0,  0,  0,  0,  0, 15, 41,109,203,221,122,  9,  0,  0,  0
5/1999,  0,  0,  0,  0,  0,  0,  0,  2, 79,183,284,190,  6,  0,  0,  0
6/1999,  0,  0,  0,  0,  0,  0,  0,  0,  4, 41,302,293, 80,  0,  0,  0
7/1999,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,225,393,126,  0,  0,  0
8/1999,  0,  0,  0,  0,  0,  0,  0,  0,  0, 21,183,252,269, 19,  0,  0
9/1999,  0,  0,  0,  0,  0,  0,  0, 11, 75,114,236,228, 56,  0,  0,  0
10/1999,  0,  0,  0,  0,  0,  2, 14, 65,154,212,203, 90,  4,  0,  0,  0
11/1999,  0,  0,  0,  0,  0,  3, 51,137,219,202,103,  5,  0,  0,  0,  0
12/1999,  0,  0,  0,  0,  0, 60,195,187,185, 89, 28,  0,  0,  0,  0,  0
1/2000,  0,  0,  0,  0,  1,161,115,144,146,145, 32,  0,  0,  0,  0,  0
2/2000,  0,  0,  0,  0,  0, 25, 91,136,172,155, 99, 18,  0,  0,  0,  0
3/2000,  0,  0,  0,  0,  0,  1, 30,102,213,218,155, 25,  0,  0,  0,  0
4/2000,  0,  0,  0,  0,  0,  0, 21, 68,183,241,174, 33,  0,  0,  0,  0
5/2000,  0,  0,  0,  0,  0,  0,  0,  2, 33,162,253,224, 70,  0,  0,  0
6/2000,  0,  0,  0,  0,  0,  0,  0,  0, 13, 50,277,268,112,  0,  0,  0
7/2000,  0,  0,  0,  0,  0,  0,  0,  0,  0, 22,164,250,254, 54,  0,  0
8/2000,  0,  0,  0,  0,  0,  0,  0,  0,  0, 11,168,228,209,127,  1,  0
9/2000,  0,  0,  0,  0,  0,  0,  0, 11, 65, 72,246,210, 78, 38,  0,  0
